Season,Birth_year,count,Coverage,Total
2009_mono,1919,2,0.2,10.0
2009_mono,1920,3,0.3333333333333333,9.0
2009_mono,1921,1,0.125,8.0
2009_mono,1922,7,0.3181818181818182,22.0
2009_mono,1923,1,0.09090909090909091,11.0
2009_mono,1924,2,0.18181818181818182,11.0
2009_mono,1925,7,0.3181818181818182,22.0
2009_mono,1926,10,0.3125,32.0
2009_mono,1927,9,0.3333333333333333,27.0
2009_mono,1928,11,0.3548387096774194,31.0
2009_mono,1929,8,0.17391304347826086,46.0
2009_mono,1930,9,0.32142857142857145,28.0
2009_mono,1931,12,0.2608695652173913,46.0
2009_mono,1932,14,0.30434782608695654,46.0
2009_mono,1933,11,0.2558139534883721,43.0
2009_mono,1934,16,0.43243243243243246,37.0
2009_mono,1935,8,0.19047619047619047,42.0
2009_mono,1936,21,0.3888888888888889,54.0
2009_mono,1937,18,0.3103448275862069,58.0
2009_mono,1938,10,0.23809523809523808,42.0
2009_mono,1939,19,0.2923076923076923,65.0
2009_mono,1940,18,0.3673469387755102,49.0
2009_mono,1941,16,0.2807017543859649,57.0
2009_mono,1942,22,0.27848101265822783,79.0
2009_mono,1943,15,0.2,75.0
2009_mono,1944,19,0.21348314606741572,89.0
2009_mono,1945,18,0.2857142857142857,63.0
2009_mono,1946,27,0.34615384615384615,78.0
2009_mono,1947,33,0.3402061855670103,97.0
2009_mono,1948,31,0.3163265306122449,98.0
2009_mono,1949,32,0.29906542056074764,107.0
2009_mono,1950,30,0.35294117647058826,85.0
2009_mono,1951,35,0.30701754385964913,114.0
2009_mono,1952,35,0.2916666666666667,120.0
2009_mono,1953,46,0.4,115.0
2009_mono,1954,33,0.2894736842105263,114.0
2009_mono,1955,36,0.3,120.0
2009_mono,1956,33,0.2426470588235294,136.0
2009_mono,1957,53,0.3271604938271605,162.0
2009_mono,1958,32,0.21768707482993196,147.0
2009_mono,1959,37,0.2624113475177305,141.0
2009_mono,1960,34,0.23776223776223776,143.0
2009_mono,1961,31,0.22142857142857142,140.0
2009_mono,1962,46,0.304635761589404,151.0
2009_mono,1963,29,0.2283464566929134,127.0
2009_mono,1964,28,0.21705426356589147,129.0
2009_mono,1965,44,0.30344827586206896,145.0
2009_mono,1966,30,0.2608695652173913,115.0
2009_mono,1967,24,0.18045112781954886,133.0
2009_mono,1968,30,0.2830188679245283,106.0
2009_mono,1969,25,0.21739130434782608,115.0
2009_mono,1970,26,0.22807017543859648,114.0
2009_mono,1971,28,0.22764227642276422,123.0
2009_mono,1972,31,0.256198347107438,121.0
2009_mono,1973,30,0.25,120.0
2009_mono,1974,30,0.22556390977443608,133.0
2009_mono,1975,25,0.20491803278688525,122.0
2009_mono,1976,26,0.21138211382113822,123.0
2009_mono,1977,29,0.20422535211267606,142.0
2009_mono,1978,38,0.2923076923076923,130.0
2009_mono,1979,36,0.22929936305732485,157.0
2009_mono,1980,27,0.20454545454545456,132.0
2009_mono,1981,32,0.21621621621621623,148.0
2009_mono,1982,39,0.2532467532467532,154.0
2009_mono,1983,18,0.13533834586466165,133.0
2009_mono,1984,27,0.19014084507042253,142.0
2009_mono,1985,35,0.26515151515151514,132.0
2009_mono,1986,26,0.23853211009174313,109.0
2009_mono,1987,27,0.27,100.0
2009_mono,1988,20,0.18018018018018017,111.0
2009_mono,1989,16,0.12307692307692308,130.0
2009_mono,1990,20,0.15625,128.0
2009_mono,1991,29,0.1858974358974359,156.0
2009_mono,1992,49,0.2934131736526946,167.0
2009_mono,1993,38,0.2235294117647059,170.0
2009_mono,1994,41,0.271523178807947,151.0
2009_mono,1995,46,0.25136612021857924,183.0
2009_mono,1996,59,0.295,200.0
2009_mono,1997,48,0.23645320197044334,203.0
2009_mono,1998,68,0.2943722943722944,231.0
2009_mono,1999,72,0.2737642585551331,263.0
2009_mono,2000,84,0.3088235294117647,272.0
2009_mono,2001,87,0.31868131868131866,273.0
2009_mono,2002,113,0.386986301369863,292.0
2009_mono,2003,95,0.3275862068965517,290.0
2009_mono,2004,126,0.35694050991501414,353.0
2009_mono,2005,152,0.4233983286908078,359.0
2009_mono,2006,138,0.40588235294117647,340.0
2009_mono,2007,168,0.42,400.0
2009_mono,2008,149,0.4745222929936306,314.0
