Season,Age group,Vaccinated,Repeat vaccinees,Total,Fraction repeat vaccinees
2018,0-4,True,33,35,0.9428571428571428
2018,10-14,True,13,14,0.9285714285714286
2018,15-19,True,17,20,0.85
2018,20-29,True,21,23,0.9130434782608695
2018,30-39,True,37,46,0.8043478260869565
2018,40-49,True,28,31,0.9032258064516129
2018,5-9,True,16,22,0.7272727272727273
2018,50-64,True,98,108,0.9074074074074074
2018,65-100,True,113,115,0.9826086956521739
2012,0-4,True,129,139,0.9280575539568345
2012,10-14,True,88,103,0.8543689320388349
2012,15-19,True,38,49,0.7755102040816326
2012,20-29,True,112,152,0.7368421052631579
2012,30-39,True,176,207,0.8502415458937198
2012,40-49,True,205,240,0.8541666666666666
2012,5-9,True,105,121,0.8677685950413223
2012,50-64,True,425,480,0.8854166666666666
2012,65-100,True,413,431,0.9582366589327146
2017,0-4,True,58,59,0.9830508474576272
2017,10-14,True,30,35,0.8571428571428571
2017,15-19,True,26,32,0.8125
2017,20-29,True,51,66,0.7727272727272727
2017,30-39,True,59,67,0.8805970149253731
2017,40-49,True,57,65,0.8769230769230769
2017,5-9,True,28,35,0.8
2017,50-64,True,193,209,0.9234449760765551
2017,65-100,True,201,203,0.9901477832512315
2016,0-4,True,83,89,0.9325842696629213
2016,10-14,True,44,50,0.88
2016,15-19,True,26,32,0.8125
2016,20-29,True,62,76,0.8157894736842105
2016,30-39,True,69,81,0.8518518518518519
2016,40-49,True,82,90,0.9111111111111111
2016,5-9,True,37,43,0.8604651162790697
2016,50-64,True,245,267,0.9176029962546817
2016,65-100,True,258,263,0.9809885931558935
2013,0-4,True,125,134,0.9328358208955224
2013,10-14,True,84,107,0.7850467289719626
2013,15-19,True,31,51,0.6078431372549019
2013,20-29,True,105,155,0.6774193548387096
2013,30-39,True,170,204,0.8333333333333334
2013,40-49,True,179,219,0.817351598173516
2013,5-9,True,99,121,0.8181818181818182
2013,50-64,True,426,500,0.852
2013,65-100,True,405,430,0.9418604651162791
2011,0-4,True,155,165,0.9393939393939394
2011,10-14,True,111,150,0.74
2011,15-19,True,47,61,0.7704918032786885
2011,20-29,True,128,166,0.7710843373493976
2011,30-39,True,207,250,0.828
2011,40-49,True,234,269,0.8698884758364313
2011,5-9,True,170,192,0.8854166666666666
2011,50-64,True,486,530,0.9169811320754717
2011,65-100,True,431,458,0.9410480349344978
2014,0-4,True,128,139,0.920863309352518
2014,10-14,True,85,100,0.85
2014,15-19,True,38,47,0.8085106382978723
2014,20-29,True,89,112,0.7946428571428571
2014,30-39,True,149,176,0.8465909090909091
2014,40-49,True,161,188,0.8563829787234043
2014,5-9,True,83,94,0.8829787234042553
2014,50-64,True,372,408,0.9117647058823529
2014,65-100,True,373,385,0.9688311688311688
2015,0-4,True,103,108,0.9537037037037037
2015,10-14,True,66,74,0.8918918918918919
2015,15-19,True,33,40,0.825
2015,20-29,True,77,96,0.8020833333333334
2015,30-39,True,96,111,0.8648648648648649
2015,40-49,True,130,149,0.87248322147651
2015,5-9,True,63,76,0.8289473684210527
2015,50-64,True,317,344,0.9215116279069767
2015,65-100,True,348,357,0.9747899159663865
2009Pan,0-4,True,141,183,0.7704918032786885
2009Pan,10-14,True,62,141,0.4397163120567376
2009Pan,15-19,True,40,77,0.5194805194805194
2009Pan,20-29,True,87,153,0.5686274509803921
2009Pan,30-39,True,141,195,0.7230769230769231
2009Pan,40-49,True,185,231,0.8008658008658008
2009Pan,5-9,True,122,205,0.5951219512195122
2009Pan,50-64,True,288,322,0.8944099378881988
2009Pan,65-100,True,165,172,0.9593023255813954
2010,0-4,True,175,206,0.8495145631067961
2010,10-14,True,101,144,0.7013888888888888
2010,15-19,True,61,98,0.6224489795918368
2010,20-29,True,147,235,0.625531914893617
2010,30-39,True,230,309,0.7443365695792881
2010,40-49,True,296,357,0.8291316526610645
2010,5-9,True,181,243,0.7448559670781894
2010,50-64,True,556,631,0.8811410459587956
2010,65-100,True,504,520,0.9692307692307692
2009,0-4,True,355,414,0.857487922705314
2009,10-14,True,151,243,0.6213991769547325
2009,15-19,True,63,129,0.4883720930232558
2009,20-29,True,197,299,0.6588628762541806
2009,30-39,True,293,370,0.7918918918918919
2009,40-49,True,366,444,0.8243243243243243
2009,5-9,True,320,416,0.7692307692307693
2009,50-64,True,687,795,0.8641509433962264
2009,65-100,True,639,672,0.9508928571428571
2008,0-4,True,446,502,0.8884462151394422
2008,10-14,True,148,197,0.751269035532995
2008,15-19,True,62,107,0.5794392523364486
2008,20-29,True,199,335,0.5940298507462687
2008,30-39,True,305,410,0.7439024390243902
2008,40-49,True,407,495,0.8222222222222222
2008,5-9,True,306,407,0.7518427518427518
2008,50-64,True,726,852,0.852112676056338
2008,65-100,True,702,742,0.9460916442048517
